state,retailrec_change,workplace_change,governor_party
Alabama,-15.68235294117647,-21.564705882352943,Republican
Alaska,-15.411764705882353,-22.55294117647059,Republican
Arizona,-20.011764705882353,-26.435294117647057,Republican
California,-29.48235294117647,-29.91764705882353,Democratic
Colorado,-24.611764705882354,-29.458823529411763,Democratic
Connecticut,-24.658823529411766,-29.04705882352941,Democratic
Delaware,-21.470588235294116,-26.8,Democratic
District of Columbia,-39.63529411764706,-40.50588235294118,Democratic
Florida,-24.870588235294118,-26.694117647058825,Republican
Georgia,-18.91764705882353,-26.41176470588235,Republican
Hawaii,-30.705882352941178,-28.83529411764706,Democratic
Idaho,-14.705882352941176,-22.823529411764707,Republican
Illinois,-24.764705882352942,-28.6,Democratic
Indiana,-18.647058823529413,-25.36470588235294,Republican
Kansas,-17.458823529411763,-23.094117647058823,Democratic
Kentucky,-17.55294117647059,-24.576470588235296,Democratic
Louisiana,-18.541176470588237,-24.729411764705883,Democratic
Maine,-22.129411764705882,-25.24705882352941,Democratic
Maryland,-23.623529411764707,-30.529411764705884,Republican
Massachusetts,-28.305882352941175,-34.04705882352941,Republican
Michigan,-28.32941176470588,-32.576470588235296,Democratic
Minnesota,-23.67058823529412,-27.294117647058822,Democratic
Mississippi,-10.941176470588236,-21.894117647058824,Republican
Missouri,-16.44705882352941,-22.176470588235293,Republican
Montana,-19.176470588235293,-22.211764705882352,Democratic
Nevada,-24.49411764705882,-32.76470588235294,Democratic
New Hampshire,-22.04705882352941,-27.070588235294117,Republican
New Jersey,-33.34117647058824,-33.976470588235294,Democratic
New Mexico,-18.647058823529413,-25.341176470588234,Democratic
New York,-34.89411764705882,-34.4,Democratic
North Carolina,-18.44705882352941,-24.63529411764706,Democratic
Ohio,-21.03529411764706,-26.564705882352943,Republican
Oregon,-22.129411764705882,-27.2,Democratic
Pennsylvania,-25.55294117647059,-29.376470588235293,Democratic
Rhode Island,-23.41176470588235,-28.470588235294116,Democratic
South Carolina,-16.08235294117647,-22.44705882352941,Republican
Tennessee,-15.976470588235294,-23.16470588235294,Republican
Texas,-19.694117647058825,-26.4,Republican
Vermont,-27.094117647058823,-31.0,Republican
Virginia,-21.141176470588235,-27.611764705882354,Democratic
Washington,-23.741176470588236,-32.258823529411764,Democratic
West Virginia,-16.623529411764707,-22.941176470588236,Republican
Wisconsin,-24.63529411764706,-23.75294117647059,Democratic
